LECROYWS4024HD,18501,Waveform
Segments,1,SegmentSize,49897
Segment,TrigTime,TimeSinceSegment1
#1,17-Oct-2025 21:19:14,0                 
Time,Ampl
3.817995e-006,0.0036999025
3.818395e-006,0.0036940203
3.818795e-006,0.00368960865
3.819195e-006,0.00368960865
3.819595e-006,0.0036910792
3.819995e-006,0.00369549085
3.820395e-006,0.0037028436
3.820795e-006,0.00371019634
3.821195e-006,0.00372049019
3.821595e-006,0.00373372513
3.821995e-006,0.00374696008
3.822395e-006,0.00376166557
3.822795e-006,0.00377637107
3.823195e-006,0.00379254711
3.823595e-006,0.00381019371
3.823995e-006,0.00382636975
3.824395e-006,0.00384401635
3.824795e-006,0.00386166294
3.825195e-006,0.00387783898
3.825595e-006,0.00389401503
3.825995e-006,0.00391019107
3.826395e-006,0.00392489657
3.826795e-006,0.00393960206
3.827195e-006,0.00395136646
3.827595e-006,0.00396313085
3.827995e-006,0.0039734247
3.828395e-006,0.003982248
3.828795e-006,0.0039881302
3.829195e-006,0.00399254184
3.829595e-006,0.00399548294
3.829995e-006,0.00399695349
3.830395e-006,0.00399695349
3.830795e-006,0.00399401239
3.831195e-006,0.0039881302
3.831595e-006,0.003982248
3.831995e-006,0.0039734247
3.832395e-006,0.00396313085
3.832795e-006,0.00395136646
3.833195e-006,0.00393813151
3.833595e-006,0.00392195547
3.833995e-006,0.00390577942
3.834395e-006,0.00388813283
3.834795e-006,0.00386901569
3.835195e-006,0.00384989854
3.835595e-006,0.00382931085
3.835995e-006,0.00380872316
3.836395e-006,0.00378813547
3.836795e-006,0.00376754777
3.837195e-006,0.00374696008
3.837595e-006,0.00372637239
3.837995e-006,0.00370725524
3.838395e-006,0.0036881381
3.838795e-006,0.00367049151
3.839195e-006,0.00365431546
3.839595e-006,0.00363960997
3.839995e-006,0.00362637502
3.840395e-006,0.00361461063
3.840795e-006,0.00360578733
3.841195e-006,0.00359843458
3.841595e-006,0.00359402293
3.841995e-006,0.00359255238
3.842395e-006,0.00359255238
3.842795e-006,0.00359549348
3.843195e-006,0.00360137568
3.843595e-006,0.00361019898
3.843995e-006,0.00362196337
3.844395e-006,0.00363666887
3.844795e-006,0.00365284491
3.845195e-006,0.00367343261
3.845595e-006,0.00369549085
3.845995e-006,0.00372049019
3.846395e-006,0.00374843063
